"artistURI","objectURI","artworkTitle","birthDate","deathDate","dateOfStartOfCreation","dateOfEndOfCreation","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artistAppellationURI","artistName","creditLine"
"","","Sunflowers","1890","1954","1921","1921","H. 36, W. 24 inches (91.4 x 61 cm.)","","Oil on canvas","","Paintings","","American","","Edward McKnight Kauffer","Purchase, The Mrs. Claus von Bulow Fund Gift, 1987"
"","","Number 4818","1939","MetDoesntKnow","1985","1985","H. 25, W. 31 inches (63.5 x 78.7 cm.)","","Oil on canvas","","Paintings","","American","","Jerome Witkin","Gift of Dr. and Mrs. Robert E. Carroll, 1987"
"","","Hanuman Monkeys","1951","MetDoesntKnow","1988","1988","H. 84, W. 72 inches (213.4 x 182.9 cm.)","","Oil on canvas","","Paintings","","American","","Hunt Slonem","Purchase, Mr. and Mrs. Wilson Nolen Gift, 1988"
"","","Mrs. John Cox (Esther Bowes)","1741","1827","1778?","1778?","1 3/4 x 1 3/8 in. (4.4 x 3.5 cm)","","Watercolor on ivory in gold case","","Paintings","","American","","Charles Willson Peale","Gift of Gloria Manney, 2006"
"","","Mrs. McKinley","1804","1894","1840?","1840?","2 3/4 x 2 1/4 in. (7 x 5.8 cm)","","Watercolor on ivory in gilded copper foliate locket; hair reserve verso","","Paintings","","MetDoesntKnow","","Thomas Seir Cummings","Dale T. Johnson Fund, 2006"
"","","Alan Harriman","1855","1941","1905","1905","56 3/4 x 37 5/16 in. (144.1 x 94.8 cm)","","Oil on canvas","","Paintings","","American","","George de Forest Brush","Gift of General Boykin C. Wright, 1953"
"","","Tommies Bathing","1856","1925","1918","1918","13 5/8 x 20 15/16 in. (34.6 x 53.2 cm)","","Watercolor, gouache, and graphite on white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Design Drawing for an Indian Wallpaper","1928","1988","1950?","1950?","H. 22, W. 22 inches (55.9 x 55.9 cm)","","Gouache on paper","","Drawings","","American","","Peter Todd Mitchell","Gift of Priscilla Cunningham, 1999"
"","","William Jonas Keen","1749","1831","1796","1796","2 11/16 x 2 1/16 in. (6.8 x 5.2 cm)","","Watercolor on ivory in gold locket","","Paintings","","American","","James Peale","Purchase, Lila Acheson Wallace Gift, 2006"
"","","Village on Lake Como: May 1, 1869 (from Sketchbook)","1828","1891","1869","1869","4 1/2 x 9 in. (11.4 x 22.9 cm)","","Graphite, white gouache, on blue paper","","Drawings","","American","","Jervis McEntee","Morris K. Jesup Fund, 1982"
"","","Lake Como, May 1, 1869 (from Sketchbook)","1828","1891","1869","1869","4 1/2 x 9 in. (11.4 x 22.9 cm)","","Graphite, white gouache, on blue paper","","Drawings","","American","","Jervis McEntee","Morris K. Jesup Fund, 1982"
"","","The River","1906","1996","1961","1961","H. 68, W. 68 inches (172.7 x 172.7 cm.)","","Oil on canvas","","Paintings","","American","","Leon Polk Smith","Gift of Carol A. Goldberg, 1981"
"","","James Topham Brady","1816","1872","1869","1869","30 x 25 in. (76.2 x 63.5 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Joseph Alexander Ames","Gift of Francis Lynde Stetson, 1910"
"","","Ice Around Governor's Island","1857","1926","1923?","1923?","8 1/4 x 10 7/8 in. (21 x 27.6 cm)","","Watercolor and gouache on off-white wove paper","","Drawings","","American","","Joseph Pennell","Gift of Bartlett Arkell, 1942"
"","","Willow Pond","1879","1958","1914","1914","36 1/4 x 34 in. (92.1 x 86.4 cm)","","Oil on canvas","","Paintings","","American","","Catherine Wiley","Gift of Mr. and Mrs. John Ernest Wiley, 1972"
"","","Near Abiquiu, New Mexico","1887","1986","1930","1930","10 x 24 1/8 in. (25.4 x 61.3 cm)","","Oil on canvas","","Paintings","","American","","Georgia O'Keeffe","Alfred Stieglitz Collection, 1963"
"","","Rival","1953","MetDoesntKnow","2010","2010","Painting A: H. 37 1/2 in. (95.3 cm) W. 38 in. (96.5 cm) D. 2 in. (5.1 cm) Painting B: H. 37 1/2 in. (95.3 cm) W. 38 in. (96.5 cm) D. 2 in. (5.1 cm)","","Gouache on cardboard","","Paintings","","Iranian","","Farah Ossouli","null"
"","","Side of a Greenhouse","1830","1896","1870","1880?","40 x 32 in. (101.6 x 78.7 cm)","","Oil on canvas","","Paintings","","American","","George Cochran Lambdin","Gift of Mrs. J. Augustus Barnard, 1979"
"","","Ariadne","1796","1886","1831?","1835","17 1/8 x 19 3/8 in. (43.5 x 49.2 cm)","","Oil on canvas","","Paintings","","American","","Asher Brown Durand","Gift of Samuel P. Avery, 1897"
"","","Shrimp Scow on Barnegat Bay","1900","1982","1939","1939","H. 28, W. 34 inches (71.1 x 86.4 cm.)","","Oil on canvas","","Paintings","","American","","Julian Levi","Arthur Hoppock Hearn Fund, 1939"
"","","Samuel Verplanck","1738","1815","1771","1771","30 x 25 in. (76.2 x 63.5 cm) Framed: 39 3/16 x 34 1/2 x 2 3/4 in. (99.5 x 87.7 x 7 cm)","","Oil on canvas","","Paintings","","American","","John Singleton Copley","Gift of James De Lancey Verplanck, 1939"
"","","Number 7","1912","1956","1952","1952","H. 53-1/8, W. 40 inches (134.8 x 101.6 cm.)","","Enamel and oil on canvas","","Paintings","","American","","Jackson Pollock","Purchase, Emilio Azcarraga Gift, in honor of William S. Lieberman, 1987"
"","","The Rock with Spiderweb Hair","1914","2004","1943","1943","H. 33-1/4, W. 22-1/2 inches (84.5 x 57.2 cm.)","","Gouache, ink, casein, and wax crayon on paper","","Drawings","","American","","Gerome Kamrowski","Purchase, Lila Acheson Wallace Gift, 1990"
"","","Tragedy of the Sea","1864","1941","1916","1916","40 1/2 x 61 1/4 in. (102.9 x 155.6 cm)","","Oil on board","","Paintings","","American","","Louis Michel Eilshemius","Bequest of Miss Adelaide Milton de Groot (1876�1967), 1967"
"","","The Creepers","1904","2000","1935","1935","H. 27, W. 32 inches (69.6 x 81.3 cm.)","","Oil on canvas","","Paintings","","American","","Clarence Holbrook Carter","George A. Hearn Fund, 1937"
"","","Rooftops of Paris","1884","1974","1923","1923","H. 26, W. 32 inches (66 x 81.3 cm.)","","Oil on canvas","","Paintings","","American","","Leon Kroll","Purchase, Estate of Edna H. Sachs, by exchange, 1983"
"","","Farm in Moonlight","1910","1977","1938","1938","H. 18, W. 20 inches (45.7 x 50.8 cm.)","","Gouache on paper","","Drawings","","American","","Daniel Koerner","Gift of New York City W. P. A., 1943"
"","","White Houses","MetDoesntKnow","MetDoesntKnow","1939?","1939?","H. 12, W. 18 inches (30.5 x 45.7 cm.)","","Gouache on paper","","Drawings","","American","","John Sante","Gift of Pennsylvania W. P. A., 1943"
"","","Summer Music","1948","MetDoesntKnow","1980","1980","H. 42, W. 62-1/2 inches (106.7 x 158.1 cm.)","","Oil on canvas","","Paintings","","American","","Walter Hatke","Gift of Mr. and Mrs. Klaus G. Perls, 1984"
"","","Untitled (Read My Lips)","1928","MetDoesntKnow","1990","1990","H. 72-1/8, W. 72-1/8 inches (183.2 x 183.2 cm.)","","Oil and acrylic on canvas","","Paintings","","MetDoesntKnow","","Leonid Lamm","Anonymous Gift, 1993"
"","","October","1924","2010","1961","1961","94 1/4 x 92 1/4in. (239.4 x 234.3cm)","","Acrylic on canvas","","Paintings","","American","","Kenneth Noland","The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
"","","From Portal to Paradise","1947","MetDoesntKnow","1982","1982","H. 107, W. 78 inches (271.8 x 198.1 cm.)","","Acrylic on canvas","","Paintings","","American","","Ronnie Landfield","Gift of Charles Cowles, in memory of Nancy Hanks, 1983"
"","","Silent Dawn","1854","1932","by1919","by1919","30 x 40 in. (76.2 x 101.6 cm)","","Oil on canvas","","Paintings","","American","","Walter Launt Palmer","George A. Hearn Fund, 1921"
"","","The Mission Tent","1867","1940","1906","1906","25 1/16 x 30 1/16 in. (63.7 x 76.4 cm)","","Oil on canvas","","Paintings","","American","","Jerome Myers","Rogers Fund, 1912"
"","","Third Avenue El","1910","2011","1952","1953","H. 40-3/8, W. 31-7/8 inches (102.6 x 81 cm.)","","Oil and spray enamel on canvas","","Paintings","","American","","Hedda Sterne","Gift of Mr. and Mrs. Daniel H. Silberberg, 1964"
"","","Mrs. Marinus Willett and Her Son Marinus, Jr.","1775","1852","1802?","1802?","36 7/8 x 28 1/8 in. (93.7 x 71.4 cm)","","Oil on canvas","","Paintings","","American","","John Vanderlyn","Bequest of George Willett Van Nest, 1916"
"","","James Stuart","1778","1830","1800","1805","2 1/16 x 1 11/16 in. (5.2 x 4.3 cm)","","Watercolor on ivory in gold case; hair reserve verso","","Paintings","","MetDoesntKnow","","Joseph Wood","Fletcher Fund, 2006"
"","","Elegy Number 21 (After MH's Iron Cross)","1961","MetDoesntKnow","1992","1992","H. 11, W. 11 inches (27.9 x 27.9 cm.)","","Oil on Masonite","","Paintings","","American","","Anthony Viti","George A. Hearn Fund, 1993"
"","","Canvas Confidential. A Backward Glance at the World of Art","1918","2001","1963","1963","Overall: 9 1/16 x 9 1/16 in. (23 x 23 cm)","","Photoreproductions of original paintings","","Books","","American","","Written by Sy Reit","Gift of A. Hyatt Mayor, 1976"
"","","Landscape of the Sky","1946","MetDoesntKnow","1968","1969","H. 72, W. 60-1/4 inches (182.9 x 152.4 cm.)","","Resin and charcoal on canvas","","Paintings","","American","","Alan Sonfist","Anonymous Gift, 1987"
"","","Woman Cutting Bread","1893","1978","1946","1946","H. 39, W. 32-1/8 inches (99 x 81.5 cm.)","","Oil on canvas","","Paintings","","American","","Abraham Rattner","Arthur Hoppock Hearn Fund, 1950"
"","","Portrait of a Gentleman","1788","1844","null","null","2 11/16 x 2 1/8 in. (6.8 x 5.4 cm)","","Watercolor on ivory in brown leatherette case","","Paintings","","American","","Nathaniel Rogers","Fletcher Fund, 2006"
"","","Presentation drawing for Magnolia hanging shade","1848","1933","1905","1915","23 3/4 x 19 13/16 in. (60.4 x 50.4 cm)","","Watercolor, gouache, pastel, and graphite on off-white wove paper mounted on board","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Paul","1946","MetDoesntKnow","1999","1999","36 7/8 x 25 3/4 in. (93.7 x 65.4cm) 38 1/4 x 27 3/8 x 2 in. (97.2 x 69.5 x 5.1 cm) (Frame)","","Oil on canvas","","Paintings","","American","","Mary Beth McKenzie","Gift of Gertrude B. Bass, 2001"
"","","Frederick Gore King","1804","1894","1827?","1827?","3 x 2 in. (7.6 x 5.1 cm)","","Watercolor on ivory","","Paintings","","MetDoesntKnow","","Thomas Seir Cummings","Morris K. Jesup Fund, 1996"
"","","Signora Gomez d'Arza","1844","1916","1901","192","30 x 24 in. (76.2 x 61 cm)","","Oil on canvas","","Paintings","","American","","Thomas Eakins","George A. Hearn Fund, 1927"
"","","Portrait of a Lady","1769?","1819","1800?","1800?","3 5/16 x 2 11/16 in. (8.4 x 6.8 cm)","","Watercolor on ivory in gilded copper locket; seed pearls, hair, over foil verso","","Paintings","","MetDoesntKnow","","Robert Field","Dale T. Johnson Fund, 2006"
"","","Winter Pool","1925","2008","1959","1959","89 1/2 x 58 1/2 x 4 in. (227.3 x 148.6 x 10.2 cm)","","Combine painting: oil, paper, fabric, wood, metal, sandpaper, tape, printed paper, printed reproductions, handheld bellows, and found painting, on two canvases, with ladder","","Paintings","","American","","Robert Rauschenberg","Jointly owned by Steven A. Cohen and The Metropolitan Museum of Art; Promised Gift of Steven A. Cohen, and Purchase, Lila Acheson Wallace Gift, Bequest of Gioconda King, by exchange, Anonymous Gift and Gift of Sylvia de Cuevas, by exchange, Janet Lee Kadesky Ruttenberg Fund, in memory of William S. Lieberman, Mayer Fund, Norman M. Leff Bequest, and George A. Hearn and Kathryn E. Hurd Funds, 2005"
"","","William Smallwood","1749","1831","1798?","1798?","2 3/4 x 2 1/16 in. (6.9 x 5.1 cm)","","Watercolor on ivory","","Paintings","","American","","James Peale","Gift of Gloria Manney, 2006"
"","","Arcadia","1844","1916","1883?","1883?","38 5/8 x 45 in. (98.1 x 114.3 cm)","","Oil on canvas","","Paintings","","American","","Thomas Eakins","Bequest of Miss Adelaide Milton de Groot (1876�1967), 1967"
"","","Jean with Blue Book and Apple","1882","1925","1916","1916","H. 21-1/2, W. 17-1/2 inches (54.6 x 44.4 cm.)","","Oil on plywood","","Paintings","","American","","George Bellows","The Edward Joseph Gallagher III Memorial Collection, Gift of Edward Joseph Gallagher, Jr., 1957"
"","","Number One","1903","2001","1951","1951","44 7/8 x 35 1/8 in. (114 x 89.2 cm)","","Oil, newspaper transfer, charcoal, and graphite on canvas","","Paintings","","MetDoesntKnow","","Esteban Vicente","The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
"","","Portrait of Stephen Mazoh","1928","1987","1974","1974","40 1/8 x 40 1/8 in. (101.9 x 101.9 cm)","","Acrylic and silkscreen on canvas","","Paintings","","American","","Andy Warhol","Gift of Stephen Mazoh, 2004"
"","","St. Paul's, London","1857","1926","1905?","1914","9 1/4 x 14 1/8 in. (23.5 x 35.9 cm)","","Watercolor and gouache on off-white wove paper","","Drawings","","American","","Joseph Pennell","Rogers Fund, 1924"
"","","The Doll and the Monster","1884","1958","1914","1914","H. 20, W. 15 inches (50.8 x 38.1 cm.)","","Oil on wood","","Paintings","","American","","Guy P�ne du Bois","Gift of Mr. Harry Payne Whitney, 1921"
"","","William Loughton Smith","1765","1835","1795?","1795?","2 3/16 x 1 13/16 in. (5.6 x 4.6 cm)","","Watercolor on ivory in gilded copper locket","","Paintings","","MetDoesntKnow","","Archibald Robertson","Dale T. Johnson Fund, 2006"
"","","Alexander Henry Durdin","1770?","1843","1810?","1810?","3 x 2 3/8 in. (7.6 x 6.1 cm)","","Watercolor on ivory in gold case","","Paintings","","MetDoesntKnow","","Benjamin Trott","Dale T. Johnson Fund, 2006"
"","","Beautification","1881","1961","1947","1947","23 x 28in. (58.4 x 71.1cm) 29 x 34 x 1 3/4 in. (73.7 x 86.4 x 4.4 cm) (Frame)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Max Weber","George A. Hearn Fund, 1948"
"","","It is the roots of who I am that remains - suppression notwithstanding","1954","MetDoesntKnow","1987","1988","H. 60-1/8, W. 103-3/8 inches (152.7 x 262.6 cm.)","","Oil, cut and pasted photographs and wax crayons on canvas","","Paintings","","American","","Juan Sanchez","George A. Hearn Fund, 1988"
"","","Behind Dunes, Lake Ontario","1836","1897","1883","1887","36 x 60 1/2 in. (91.4 x 153.7 cm)","","Oil on canvas","","Paintings","","American","","Homer Dodge Martin","Gift of George A. Hearn, 1906"
"","","Pot Bellied Stove","1908","2002","1936?","1937","H. 35, W. 24 inches (88.9 x 61 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Esphyr Slobodkina","Purchase, Clarence Y. Palitz Jr. Gift, 1985"
"","","The Flesh Eaters","1912","1963","1952","1952","60 x 72 1/8 in. (152.4 x 183.2 cm)","","Oil and charcoal on canvas","","Paintings","","American","","William Baziotes","Purchase, George A. Hearn Fund, Arthur Hoppock Hearn Fund, and Hearn Funds, Bequest of Charles F. Ikl�, and Gifts of Mrs. Carroll J. Post and Mrs. George S. Amory, by exchange, 1995"
"","","Benjamin Chew Wilcocks","1770?","1843","1812?","1812?","3 9/16 x 2 31/32 in. (9 x 7.5 cm)","","Watercolor on ivory","","Paintings","","MetDoesntKnow","","Benjamin Trott","Bequest of Mary Stillman Harkness, 1950"
"","","Design for the Washington Centennial Celebration, Souvenir","1848","1936","1889","1889","20 x 16 in. (50.8 x 40.6 cm)","","Oil on canvas board","","Paintings","","American","","Edwin Howland Blashfield","Gift of Henry G. Marquand, 1890"
"","","Lady in Gray","1834","1903","1883?","1883?","11 1/4 x 5 in. (28.6 x 12.7 cm)","","Watercolor and gouache on dark brown wove paper","","Drawings","","American","","James McNeill Whistler","Rogers Fund, 1906"
"","","Stay Ahead of the Game","1942","1994","1975?","1975?","H. 32-1/2, W. 54-1/8 inches (82.6 x 137.5 cm.)","","Cut and pasted printed paper, ink markers, graphite, and gouache on paper","","Drawings","","American","","Joe Brainard","Gift of Stanley Posthorn, in memory of the artist, 1997"
"","","Vessel","1946","MetDoesntKnow","1978","1978","H. 13, W. 23 inches (33 x 58.4 cm.)","","Oil, graphite, pastel crayon, and ink on paper","","Drawings","","American","","Frances Barth","Purchase, Charles Z. Offin Art Fund, Inc. Gift, 1981"
"","","Untitled, Number 19","1905","1970","1934","1934","H. 31-3/4, W. 39 inches (80.6 x 99.1 cm.)","","Oil with sand on canvas","","Paintings","","American","","John Ferren","Gift of Jerry Leiber, 1985"
"","","The Dark Mountain, No. 1","1877","1943","1909","1909","14 x 12 1/8 in. (35.6 x 30.8 cm)","","Oil on commercially prepared paperboard","","Paintings","","American","","Marsden Hartley","Alfred Stieglitz Collection, 1949"
"","","[Barn with Porch Addition, Old Lyme, Connecticut]","1903","1975","September","October1963","40.6 x 50.8 cm (16 x 20 in. )","","Tempera on panel","","Paintings","","American","","Walker Evans","Walker Evans Archive, 1994"
"","","Polly","1883","1962","1927","1927","H. 43, W. 36 inches (109.2 x 91.4 cm.)","","Oil on canvas","","Paintings","","American","","Eugene Speicher","Arthur Hoppock Hearn Fund, 1928"
"","","Overhead View","1936","MetDoesntKnow","1964","1964","H. 27, W. 43 inches (68.6 x 109.2 cm.)","","Charcoal on canvas","","Paintings","","American","","Sidney Goodman","Gift of Theresa and Norman Greenfield, 1985"
"","","Eros","1928","2011","1988","1988","H. 34-3/4, W. 35-1/4 inches (88.3 x 89.5 cm.)","","Acrylic on canvas","","Paintings","","American","","Helen Frankenthaler","Gift of Barbaralee Diamonstein and Carl Spielvogel, 1995"
"","","Portrait of a Gentleman","1787","1830","null","null","2 7/8 x 2 5/16 in. (7.3 x 5.9 cm)","","Watercolor on ivory in gold-colored metal; hair reserve verso","","Paintings","","American","","Attributed to Henry Williams","Gift of J. William Middendorf II, 1968"
"","","Philip Slade","1788","1865","1818","1818","38 1/2 x 32 1/2 in. (97.3 x 82.6 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Ammi Phillips","Gift of Edgar William and Bernice Chrysler Garbisch, 1964"
