"Process","person_uri","object_uri","Artwork_Name","image","Artwork_Year","Dimensions","person_appellation_uri","name","Provenance"
"Stuffed alligator, neon numbers, glass, transformers, and steel frame","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.55&dim=300px","","Dimensions variable","","Mario Merz","The Museum of Contemporary Art, Los Angeles
Gift of Jay Chiat"
"LCD color monitor installed behind a 1 5/8 x 2 1/4 in. aperature, 62 1/2 in. from floor, auto reverse tape deck, video tape","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.43&dim=300px","","Dimensions variable","","Eric Magnuson","The Museum of Contemporary Art, Los Angeles
Gift of the Artist"
"Oil on canvas and collage on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.68&dim=300px","","67 1/2 x 54 1/4 in. (171.5 x 137.8 cm)","","Conrad Marca-Relli","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Serigraph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.94&dim=300px","","13 x 21 1/2 in. (33 x 54.6 cm)","","Conrad Marca-Relli","The Museum of Contemporary Art, Los Angeles
Gift of The Atlantic Richfield Company"
"Tin house, plastic, clothing, and globes","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.24&dim=300px","","31 x 53 x 24 in. (78.7 x 134.6 x 61 cm)","","Eduardo Abaroa","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Q-Tips, plastic balls, silicone, and metal","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.25&dim=300px","","30 x 30 x 30 in. (76.2 x 76.2 x 76.2 cm)","","Eduardo Abaroa","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.179&dim=300px","","72 x 48 in. (182.9 x 121.9 cm)","","John McLaughlin","The Museum of Contemporary Art, Los Angeles
Gift of Gil Garfield"
"Newspaper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.30&dim=300px","","Dimensions variable","","Gustav Metzger","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Lithograph on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.81&dim=300px","","Frame: 21 1/2 x 21 1/2 x 1 1/2 in. (54.6 x 54.6 x 3.8 cm)","","Josef Albers","The Museum of Contemporary Art, Los Angeles
Gift of Martha Bertonneau Padve"
"Oil on paper on board","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.67&dim=300px","","17 1/4 x 23 1/8 in. (43.8 x 58.7 cm)","","Josef Albers","The Museum of Contemporary Art, Los Angeles
Partial and promised gift from the Collection of Laura-Lee and Robert Woods"
"Oil on masonite","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.1&dim=300px","","15 5/8 x 15 5/8 in. (39.7 x 39.7 cm)
Frame: 16 1/4 x 16 1/4 in. (41.3 x 41.3 cm)","","Josef Albers","The Museum of Contemporary, Los Angeles
Gift of The American Art Foundation"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.65.14&dim=300px","","7 7/8 x 12 in. (20 x 30.5 cm)","","Elaine Mayes","The Museum of Contemporary Art, Los Angeles
Gift of Sue and Al Dorskind"
"Color photograph, edition of 20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.9&dim=300px","","Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm)","","Ana Mendieta","The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation"
"Color photograph, edition of 20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.1&dim=300px","","Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm)","","Ana Mendieta","The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation"
"Color photograph, edition of 20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.2&dim=300px","","Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm)","","Ana Mendieta","The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation"
"Color photograph, edition of 20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.6&dim=300px","","Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm)","","Ana Mendieta","The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation"
"Color photograph, edition of 20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.4&dim=300px","","Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm)","","Ana Mendieta","The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation"
"Ball point pen on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.128.2&dim=300px","","17 7/8 x 13 7/8 in. (45.4 x 35.2 cm)","","Dan Asher","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Ball point pen on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.128.4&dim=300px","","17 7/8 x 13 7/8 in. (45.4 x 35.2 cm)","","Dan Asher","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Ball point pen on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.128.3&dim=300px","","17 7/8 x 13 7/8 in. (45.4 x 35.2 cm)","","Dan Asher","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Ball point pen on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.128.1&dim=300px","","Other: 17 7/8 x 13 7/8 in. (45.4 x 35.2 cm)","","Dan Asher","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Twenty-two pigment paintings","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.21.1-.22&dim=300px","","Each: 39 1/4 x 39 1/4 in. (99.7 x 99.7 cm)","","Gerhard Merz","The Museum of Contemporary Art, Los Angeles
Gift of Emily and Jerry Spiegel"
"Silkscreen letters on wall","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.22&dim=300px","","Dimensions variable","","Gerhard Merz","The Museum of Contemporary Art, Los Angeles
Gift of Emily and Jerry Spiegel"
"Screenprint on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.20&dim=300px","","84 x 38 in. (213.4 x 96.5 cm)","","Gerhard Merz","The Museum of Contemporary Art, Los Angeles
Gift of Emily and Jerry Spiegel"
"Steel (shelf piece)","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.50&dim=300px","","1/4 x 16 3/4 x 4 in. (0.6 x 42.5 x 10.2 cm)","","Richard Nonas","Museum of Contemporary Art, THE DOROTHY AND HERBERT VOGEL COLLECTION: FIFTY WORKS FOR FIFTY STATES, a joint initiative of the Trustees of the Dorothy and Herbert Vogel Collection and the National Gallery of Art, with generous support of the National Endowment for the Arts and the Institute for Museum and Library Services."
"Steel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.7&dim=300px","","168 x 288 x 2 in. (426.7 x 731.5 x 5.1 cm)","","Richard Nonas","The Museum of Contemporary Art, Los Angeles
Gift of Sydney Goldfarb"
"Wood and steel slab","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.21A-C&dim=300px","","9 x 45 x 157 in. (22.9 x 114.3 x 398.8 cm)","","Richard Nonas","The Museum of Contemporary Art, Los Angeles
Gift of Frederick E. Sherman &amp; Michael S. Levin"
"Pastel, graphite, pen on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.39&dim=300px","","Paper: 6 7/8 x 6 7/8 in. (17.5 x 17.5 cm)
Frame: 10 7/8 x 9 in. (27.6 x 22.9 cm)","","Wes Mills","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Acrylic lacquer and dry pigment on fiberglass","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.127A-L&dim=300px","","12 panels: 120 x 156 in. (304.8 x 396.2 cm)","","David Novros","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Dorot Foundation and gift of the artist in honor of Peter Ungerleider&#039;s 50th Birthday"
"Acrylic lacquer, and murano pigment and dry pigment on fiberglass","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.72A-L&dim=300px","","96 x 108 in. (243.8 x 274.3 cm)","","David Novros","The Museum of Contemporary Art, Los Angeles
Gift of Barbara Jakobson"
"Oil and murano pigment on shaped canvas in six parts","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.14&dim=300px","","8 x 15 in. (20.3 x 38.1 cm)","","David Novros","The Museum of Contemporary Art, Los Angeles
Gift of Virginia Dwan"
"Oil in liquin and marble dust on canvas (six parts)","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.156A-F&dim=300px","","60 x 66 in. (152.4 x 167.6 cm)","","David Novros","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Acrylic lacquer, murano pigment and dry pigment on fiberglass","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.22A-L&dim=300px","","12 panels: 120 x 180 in. (304.8 x 457.2 cm)","","David Novros","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Dorot Foundation and a gift of the artist"
"Three lithographs, A.P.","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=83.10A-C&dim=300px","","Each: 32 x 25 7/8 in. (81.3 x 65.7 cm)","","Bruce Nauman","The Museum of Contemporary Art, Los Angeles
Gift of Peter and Becky Smith"
"Ink and crayon on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.259&dim=300px","","Paper: 9 x 12 in. (22.9 x 30.5 cm)","","Thomas Nozkowski","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Graphite and ink on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.260&dim=300px","","Paper: 9 x 12 in. (22.9 x 30.5 cm)","","Thomas Nozkowski","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Four color silkscreen, edition 199/300","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.12.18&dim=300px","","9 x 12 in. (22.9 x 30.5 cm)","","Kenneth Noland","The Museum of Contemporary Art, Los Angeles
Gift of Steven Feinstein"
"Corrugated metal and frame","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.10&dim=300px","","42 1/8 x 145 x 4 in. (107 x 368.3 x 10.2 cm)","","Cady Noland","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Silkscreen on paper, edition 1/1","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.80.5&dim=300px","","32 x 40 in. (81.3 x 101.6 cm)","","Cady Noland","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.113&dim=300px","","48 1/4 x 48 in. (122.6 x 121.9 cm)","","Manuel Ocampo","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Water-soluble colored pencil on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.125.3&dim=300px","","23 1/2 x 17 1/2 in. (59.7 x 44.5 cm)","","Daniel Oates","The Museum of Contemporary Art, Los Angeles
Gift of Audrey M. Irmas"
"Lithograph with watercolor on Arches paper, edition 15/75","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.2.6&dim=300px","","28 x 40 in. (71.1 x 101.6 cm)
Other (Mounted on paper): 31 x 42 in. (78.7 x 106.7 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation"
"Canvas filled with kapok, painted with Liquitex","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.15&dim=300px","","42 x 22 x 7 in. (106.7 x 55.9 x 17.8 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
Gift of Robert H. Halff"
"Muslin soaked in plaster over wire frame, painted with enamel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.5&dim=300px","","63 1/4 x 41 1/4 x 4 in. (160.7 x 104.8 x 10.2 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
The Panza Collection"
"Lithograph, edition 15/35","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=83.32&dim=300px","","67 1/2 x 45 in. (171.5 x 114.3 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
Gift of Steve Schapiro"
"Muslin soaked in plaster over wire frame, painted with enamel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.14&dim=300px","","52 3/4 x  40 1/2 x 6 in.","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
The Panza Collection"
"Painted plaster","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.82&dim=300px","","5 x 9 x 7 in. (12.7 x 22.9 x 17.8 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Lithograph, two color silkscreen and chalk, edition 199/300","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.12.19&dim=300px","","12 x 9 in. (30.5 x 22.9 cm)
Frame: 17 1/2 x 14 1/4 x 1 in. (44.5 x 36.2 x 2.5 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
Gift of Steven Feinstein"
"Knife/Ship II , 1986","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.72&dim=300px","","Wood, steel, aluminum, painted with polyurethane enamel","","Claes Oldenburg","35 1/2 x 83 x 31 3/4 ft."
"Muslin soaked in plaster over wire frame, painted with enamel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.12&dim=300px","","32 3/4 x 30 3/4 x 6 3/4 in. (83.2 x 78.1 x 17.1 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
The Panza Collection"
"Muslin soaked in plaster over wire frame, painted with enamel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.12&dim=300px","","32 1/2 x 43 1/4 in. (82.6 x 109.9 cm)","","Claes Oldenburg","The Museum of Contemporary Art, Los Angeles
The Panza Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.28&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.25&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.22&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.19&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.24&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.21&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.20&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.26&dim=300px","","Paper: 8 x 10 in. (20.3 x 25.4 cm)","","Bill Owens","The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald"
"Ink on graph paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.75&dim=300px","","10 7/8 x 8 3/8 in. (27.6 x 21.3 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors"
"Aluminum blocks","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.7&dim=300px","","Each: 1 x 2 x 2 in. (2.5 x 5.1 x 5.1 cm)
4 x 10 x 10 in. (10.2 x 25.4 x 25.4 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Xerox poem pages, edition 15/75","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.2.2&dim=300px","","8 1/2 x 11 in. (21.6 x 27.9 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation"
"Paper (rubber stamp) on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.32&dim=300px","","Image: 8 1/4 x 8 1/4 in. (21 x 21 cm)","","Carl Andre","Museum of Contemporary Art, THE DOROTHY AND HERBERT VOGEL COLLECTION: FIFTY WORKS FOR FIFTY STATES, a joint initiative of the Trustees of the Dorothy and Herbert Vogel Collection and the National Gallery of Art, with generous support of the National Endowment for the Arts and the Institute for Museum and Library Services."
"Four steel plates","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.59&dim=300px","","1/2 x 10 3/8 x 15 1/8 in. (1.3 x 26.4 x 38.4 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Gift of Kourosh Larizadeh and an anonymous donor"
"Steel and zinc","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.1&dim=300px","","39 1/2 x 39 1/2 x 1/4 in. (100.3 x 100.3 x 0.6 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
Gift of Gilbert B. Friesen in honor of Jeremy Strick"
"Concrete blocks and river stones","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.36&dim=300px","","Each: 11 1/2 x 11 3/4 x 3 1/2 in. (29.2 x 29.8 x 8.9 cm)","","Carl Andre","The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection"
