"Artist_uri","Object_URI","Label_on_page","origin","title","image_url","dates","birth_year","death_year","dimension","technique_uri","technique","label_type_uri","origin_type_uri","nationality_uri","nationality","Artist_appellation_uri","name","credit_line"
"","","The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Made in United States, North and Central America","""As a Little Child""","http://www.philamuseum.org/images/cad/large/1985-52-39491-pdp.jpg","c. 1904","","","Plate: 20 1/2 x 14 3/8 inches (52 x 36.5 cm)
Sheet: 27 3/16 x 21 1/2 inches (69 x 54.6 cm)","","Color photomechanical reproduction","","","","American","","Reproduction after a painting by A. Romès","The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985"
"","","","Made in United States, North and Central America","""Anywhere"" Lamp","http://www.philamuseum.org/images/cad/large/1974-57-1-neh.jpg","Designed 1952","","","14 x 14 x 14 inches (35.6 x 35.6 x 35.6 cm)","","Aluminum and enameled metal","","","","American(bornGermany)","","Designed by Greta von Nessen","Gift of Nessen Lamps, Inc., 1974"
"","","Pearlie Posey quilted at night after working all day in the fields, making her quilts from the skirts of old dresses that she tore into panels. (She recalled that four or six ""skirt tails"" sewn together made a quilt top.) Posey focused on quilting quickly and expediently, sewing the panels together with large stitches and thread that she unraveled from flour sacks. She used simple piecework patterns such as Nine Patch, Four Patch, and strips in her quilts until 1980, when she began making appliqu quilts, following the example of her daughter, Sarah Mary Taylor.","Made in United States, North and Central America","""Animals"" Quilt","http://www.philamuseum.org/images/cad/large/2006-163-7-pma.jpg","1980-83","","","76 1/4 x 62 1/2 inches (193.7 x 158.8 cm)","","Cotton; running stitch","","","","American","","Pearlie Posey","The Ella King Torrey Collection of African American Quilts, 2006"
"","","This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name","Made in United States, North and Central America","""Akari"" Lamp","http://www.philamuseum.org/images/cad/large/1979-87-6-pma.jpg","Designed 1960s","","","75 x 50 inches (190.5 x 127 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","","Made in United States, North and Central America","""Akari"" Lamp","http://www.philamuseum.org/images/cad/large/1979-87-7-pma.jpg","Designed 1975","","","6 feet 3 inches x 14 inches (190.5 x 35.6 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name","Made in United States, North and Central America","""Akari"" Lamp","http://www.philamuseum.org/images/cad/large/1979-87-4-pma.jpg","Designed 1960s","","","open: 63 x 23 inches (160 x 58.4 cm)
closed: 2 1/2 x 27 1/2 x 27 1/2 inches (6.4 x 69.9 x 69.9 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","","Made in United States, North and Central America","""Akari"" Floor Lamp","http://www.philamuseum.org/images/cad/large/1979-87-5-pma.jpg","Designed 1975","","","63 x 23 inches (160 x 58.4 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","","Made in United States, North and Central America","""Akari"" Floor Lamp","http://www.philamuseum.org/images/cad/large/1979-87-2-pma.jpg","Designed 1976","","","47 x 22 inches (119.4 x 55.9 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","The sculptor Isamu Noguchi designed this lamp, one of a series inspired by traditional Japanese lanterns. He named the lamps akari, which means ""the light of illumination"" and ""the essence of lightness.""","Made in United States, North and Central America","""Akari"" Floor Lamp","http://www.philamuseum.org/images/cad/large/1979-87-1-pma.jpg","Designed 1975","","","open: 45 x 32 inches (114.3 x 81.3 cm)
closed: 7 x 30 1/4 x 30 1/4 inches (17.8 x 76.8 x 76.8 cm)","","Mulberry bark paper, bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","Eero Saarinen's ""Pedestal"" chair, introduced in 1957, was an instant success. This ""Champagne"" chair is one of the many variations on that design created in the late 1950s and 1960s.","Made in New York, United States, North and Central America","""Champagne"" Chair","http://www.philamuseum.org/images/cad/large/1971-1-1.jpg","Designed 1962","","","31 1/2 x 23 3/4 x 23 inches (80 x 60.3 x 58.4 cm)
Seat height: 15 3/4 inches (40 cm)","","Plexiglas, aluminum; upholstery","","","","American","","Designed by Erwine Laverne","Gift of Laverne International, 1971"
"","","Eero Saarinen's ""Pedestal"" chair, introduced in 1957, was an instant success. This ""Champagne"" chair is one of the many variations on that design created in the late 1950s and 1960s.","Made in New York, United States, North and Central America","""Champagne"" Chair","http://www.philamuseum.org/images/cad/large/1971-1-1.jpg","Designed 1962","","","31 1/2 x 23 3/4 x 23 inches (80 x 60.3 x 58.4 cm)
Seat height: 15 3/4 inches (40 cm)","","Plexiglas, aluminum; upholstery","","","","American","","Designed by Erwine Laverne","Gift of Laverne International, 1971"
"","","This clock, one of a series designed by George Nelson Associates for the Howard Miller Company, has become an icon of 1950s design. When the series was introduced, the clocks were considered quite radical-unlike traditional clocks, their faces had no numbers.","Made in United States, North and Central America","""Ball"" Wall Clock","http://www.philamuseum.org/images/cad/large/1983-50-4.jpg","Designed 1947","","","Diameter: 13 3/8 inches (34 cm)","","Painted birch, steel, brass","","","","American","","Designed by George Nelson","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1983"
"","","","Made in Ojai, California, United States, North and Central America","""Blindman"" Pin","http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg","1996","","","4 1/2 x 3 1/2 inches (11.4 x 8.9 cm)","","Silver","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","The ""Aura"" table's glass sheets are manually colored with water-based paints. Each sheet can be placed on any level and rotated to create twenty-four configurations.","Made in United States, North and Central America","""Aura"" Table","http://www.philamuseum.org/images/cad/large/1999-154-1.jpg","Designed 1990 (restyled 1997)","","","18 3/4 x 35 1/2 x 32 1/8 inches (47.6 x 90.2 x 81.6 cm)","","Metal, glass","","","","Canadian(bornEgypt)","","Karim Rashid","Gift of Curvet USA, 1999"
"","","","Made in United States, North and Central America","""Anywhere"" Lamp","http://www.philamuseum.org/images/cad/large/1974-57-1-neh.jpg","Designed 1952","","","14 x 14 x 14 inches (35.6 x 35.6 x 35.6 cm)","","Aluminum and enameled metal","","","","American(bornGermany)","","Designed by Greta von Nessen","Gift of Nessen Lamps, Inc., 1974"
"","","","Made in United States, North and Central America","""Akari"" Lamp","http://www.philamuseum.org/images/cad/large/1979-87-7-pma.jpg","Designed 1975","","","6 feet 3 inches x 14 inches (190.5 x 35.6 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name","Made in United States, North and Central America","""Akari"" Lamp","http://www.philamuseum.org/images/cad/large/1979-87-3-pma.jpg","Designed 1960s","","","open: 63 x 23 inches (160 x 58.4 cm)
closed: 6 1/4 x 24 1/2 x 24 1/4 inches (15.9 x 62.2 x 61.6 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","Pearlie Posey quilted at night after working all day in the fields, making her quilts from the skirts of old dresses that she tore into panels. (She recalled that four or six ""skirt tails"" sewn together made a quilt top.) Posey focused on quilting quickly and expediently, sewing the panels together with large stitches and thread that she unraveled from flour sacks. She used simple piecework patterns such as Nine Patch, Four Patch, and strips in her quilts until 1980, when she began making appliqu quilts, following the example of her daughter, Sarah Mary Taylor.","Made in United States, North and Central America","""Animals"" Quilt","http://www.philamuseum.org/images/cad/large/2006-163-7-pma.jpg","1980-83","","","76 1/4 x 62 1/2 inches (193.7 x 158.8 cm)","","Cotton; running stitch","","","","American","","Pearlie Posey","The Ella King Torrey Collection of African American Quilts, 2006"
"","","This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name","Made in United States, North and Central America","""Akari"" Lamp","http://www.philamuseum.org/images/cad/large/1979-87-6-pma.jpg","Designed 1960s","","","75 x 50 inches (190.5 x 127 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name","Made in United States, North and Central America","""Akari"" Lamp","http://www.philamuseum.org/images/cad/large/1979-87-3-pma.jpg","Designed 1960s","","","open: 63 x 23 inches (160 x 58.4 cm)
closed: 6 1/4 x 24 1/2 x 24 1/4 inches (15.9 x 62.2 x 61.6 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name","Made in United States, North and Central America","""Akari"" Lamp","http://www.philamuseum.org/images/cad/large/1979-87-3-pma.jpg","Designed 1960s","","","open: 63 x 23 inches (160 x 58.4 cm)
closed: 6 1/4 x 24 1/2 x 24 1/4 inches (15.9 x 62.2 x 61.6 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","","Made in United States, North and Central America","""Akari"" Floor Lamp","http://www.philamuseum.org/images/cad/large/1979-87-2-pma.jpg","Designed 1976","","","47 x 22 inches (119.4 x 55.9 cm)","","Mino-gami (mulberry bark paper), bamboo, metal","","","","American","","Designed by Isamu Noguchi","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York"
"","","","Made in Toledo, Ohio, United States, North and Central America","""Classic Crystal"" Glasses","http://www.philamuseum.org/images/cad/large/1982-151-1--5.jpg","Designed 1949","","","Jigger [1982-151-1] height: 2 1/4 inches (5.7 cm)
Old-Fashioned [1982-151-2] height: 3 3/8 inches (8.6 cm)
Collins [1982-151-3] height: 4 3/4 inches (12.1 cm)
Iced Tea [1982-151-4] height: 5 1/4 inches (13.3 cm)
Cooler [1982-151-5] height: 6 inches (15.2 cm)","","Glass","","","","American","","Designed by Freda Diamond","Gift of Libbey Glass Company, 1982"
"","","Eero Saarinen's ""Pedestal"" chair, introduced in 1957, was an instant success. This ""Champagne"" chair is one of the many variations on that design created in the late 1950s and 1960s.","Made in New York, United States, North and Central America","""Champagne"" Chair","http://www.philamuseum.org/images/cad/large/1971-1-1.jpg","Designed 1962","","","31 1/2 x 23 3/4 x 23 inches (80 x 60.3 x 58.4 cm)
Seat height: 15 3/4 inches (40 cm)","","Plexiglas, aluminum; upholstery","","","","American","","Designed by Erwine Laverne","Gift of Laverne International, 1971"
"","","","Made in United States, North and Central America","""Chippendale"" Chair","http://www.philamuseum.org/images/cad/large/1985-94-4.jpg","Designed 1978-84; made 1985","","","37 1/2 x 23 1/8 x 18 1/2 inches (95.3 x 58.7 x 47 cm)
Seat height: 15 3/4 inches (40 cm)","","Bent laminated wood; plastic laminate","","","","American","","Designed by Robert Venturi","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1985"
"","","","Made in Toledo, Ohio, United States, North and Central America","""Classic Crystal"" Glasses","http://www.philamuseum.org/images/cad/large/1982-151-1--5.jpg","Designed 1949","","","Jigger [1982-151-1] height: 2 1/4 inches (5.7 cm)
Old-Fashioned [1982-151-2] height: 3 3/8 inches (8.6 cm)
Collins [1982-151-3] height: 4 3/4 inches (12.1 cm)
Iced Tea [1982-151-4] height: 5 1/4 inches (13.3 cm)
Cooler [1982-151-5] height: 6 inches (15.2 cm)","","Glass","","","","American","","Designed by Freda Diamond","Gift of Libbey Glass Company, 1982"
"","","","Made in Ojai, California, United States, North and Central America","""Blindman"" Pin","http://www.philamuseum.org/images/cad/large/2009-32-1-neh.jpg","1996","","","4 1/2 x 3 1/2 inches (11.4 x 8.9 cm)","","Silver","","","","American","","Beatrice Wood","© Beatrice Wood Center for the Arts / Happy Valley Foundation"
"","","The ""Aura"" table's glass sheets are manually colored with water-based paints. Each sheet can be placed on any level and rotated to create twenty-four configurations.","Made in United States, North and Central America","""Aura"" Table","http://www.philamuseum.org/images/cad/large/1999-154-1.jpg","Designed 1990 (restyled 1997)","","","18 3/4 x 35 1/2 x 32 1/8 inches (47.6 x 90.2 x 81.6 cm)","","Metal, glass","","","","Canadian(bornEgypt)","","Karim Rashid","Gift of Curvet USA, 1999"
"","","This clock, one of a series designed by George Nelson Associates for the Howard Miller Company, has become an icon of 1950s design. When the series was introduced, the clocks were considered quite radical-unlike traditional clocks, their faces had no numbers.","Made in United States, North and Central America","""Ball"" Wall Clock","http://www.philamuseum.org/images/cad/large/1983-50-4.jpg","Designed 1947","","","Diameter: 13 3/8 inches (34 cm)","","Painted birch, steel, brass","","","","American","","Designed by George Nelson","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1983"
