"artist_URI","description","object_uri","Artwork_Title","image_url","birth_date","death_date","date","dimensions_inch","medium_uri","medium","Nationality_URI","nationality","artist_appellation_uri","name","credit_line"
"","NA","","Fort D. A. Russell W.T. from the South-East, September, 1869","http://emuseum.huntington.org/internal/media/dispatcher/20061/resize:format$003dfull","1846","1918","1869","6 1/2 x 9 3/4","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort D.A. Russell W.T. from the North-East, July, 1869","http://emuseum.huntington.org/internal/media/dispatcher/20059/resize:format$003dfull","1846","1918","1869","5 3/16 x 9 1/8","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort D.A. Russell, Wyoming in 1869 Seen from the North-East December 8, 1909","http://emuseum.huntington.org/internal/media/dispatcher/20131/resize:format$003dfull","1846","1918","1909","4 3/4 x 8 5/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Davis Texas in 1880, June 10, 1908","http://emuseum.huntington.org/internal/media/dispatcher/20116/resize:format$003dfull","1846","1918","1908","5 5/16 x 8 3/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Fort Davis Texas in 1880, June 13, 1908","http://emuseum.huntington.org/internal/media/dispatcher/20117/resize:format$003dfull","1846","1918","1908","5 3/16 x 8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Fort Davis, Texas in 1880, February 14, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20141/resize:format$003dfull","1846","1918","1910","5 x 7 5/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Fort Fetterman W.F. from the South-East, November 1869","http://emuseum.huntington.org/internal/media/dispatcher/20064/resize:format$003dfull","1846","1918","1869","5 3/8 x 9 9/16","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Fetterman, Wyoming in 1869, Dec. 13, 1909","http://emuseum.huntington.org/internal/media/dispatcher/20132/resize:format$003dfull","1846","1918","1909","5 15/16 x 8 3/4","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Fetterman, Wyoming in 1869, Nov. 4, 1908","http://emuseum.huntington.org/internal/media/dispatcher/20119/resize:format$003dfull","1846","1918","1908","5 1/4 x 8 5/16","","watercolor on paper mounted on brown paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Fred Steele W.T. from the North-East, July, 1870","http://emuseum.huntington.org/internal/media/dispatcher/20065/resize:format$003dfull","1846","1918","1870","6 3/16 x 9 3/4","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Fred Steele W.T. from the North-West, September, 1870","http://emuseum.huntington.org/internal/media/dispatcher/20068/resize:format$003dfull","1846","1918","1870","6 13/16 x 9 7/16","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Fred Steele Wy. on the Platte River, Dec. 29, 1909","http://emuseum.huntington.org/internal/media/dispatcher/20135/resize:format$003dfull","1846","1918","1909","5 15/16 x 9 1/8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Fred Steele, Wyoming in 1870, Dec. 3, 1909","http://emuseum.huntington.org/internal/media/dispatcher/20133/resize:format$003dfull","1846","1918","1909","5 3/16 x 8 7/8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Fred Steele, Wyoming in 1870, Dec., 3. 1909","http://emuseum.huntington.org/internal/media/dispatcher/20130/resize:format$003dfull","1846","1918","1909","5 15/16 x 8 9/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Fred Steele, Wyoming in 1870, December 19, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20151/resize:format$003dfull","1846","1918","1910","5 5/16 x 8 9/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Fred Steele, Wyoming in 1890, Nov. 16, 1908","http://emuseum.huntington.org/internal/media/dispatcher/20121/resize:format$003dfull","1846","1918","1908","6 x 9","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Fort Garry in 1871, October 29, 1890","http://emuseum.huntington.org/internal/media/dispatcher/20092/resize:format$003dfull","1846","1918","1890","4 1/8 x 6 1/4","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Grant, Arizona in 1882, February 19, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20142/resize:format$003dfull","1846","1918","2/19/1910","5 3/4 x 8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Fort Sanders W.T. from the South-West, August, 1869","http://emuseum.huntington.org/internal/media/dispatcher/20060/resize:format$003dfull","1846","1918","1869","5 x 9 3/16","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Santiago, Manila - Santa Barbara Bastion, Dec. 28, 1908","http://emuseum.huntington.org/internal/media/dispatcher/20122/resize:format$003dfull","1846","1918","1908","5 5/8 x 7 11/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Fort Wayne, Mich. in 1877 Water Front, November 4, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20147/resize:format$003dfull","1846","1918","1910","5 x 8 3/8","","watercolor on paper mounted on brown paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Wayne, Michigan Enterance in 1877, November 9, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20148/resize:format$003dfull","1846","1918","1910","4 1/16 x 5 5/16","","watercolor on paper mounted","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Yuma in 1876, December 9, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20150/resize:format$003dfull","1846","1918","1910","5 x 7","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Fort Yuma in 1876, May 20, 1908","http://emuseum.huntington.org/internal/media/dispatcher/20115/resize:format$003dfull","1846","1918","1908","5 5/16 x 7 1/8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Fountain","http://emuseum.huntington.org/internal/media/dispatcher/27916/resize:format$003dfull","1860","1935","ca. 1885-1932","9 1/4 x 14 9/16","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Four Eyes","http://emuseum.huntington.org/internal/media/dispatcher/20853/resize:format$003dfull","1884","1958","1921","14 5/8 x 12 1/8","","watercolor and ink on paper","","American","","Guy Pène Du Bois","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Art Collectors' Council"
"","NA","","Four Groupings of Trees","http://emuseum.huntington.org/internal/media/dispatcher/20160/resize:format$003dfull","1846","1918","n.d.","5 3/8 x 7 3/16","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Four Trees on a Hill","http://emuseum.huntington.org/internal/media/dispatcher/20161/resize:format$003dfull","1846","1918","n.d.","5 3/8 x 7 3/16","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Fox Family in Burrow with Large Fox Approaching Holding Rabbit in its Mounth","http://emuseum.huntington.org/internal/media/dispatcher/20168/resize:format$003dfull","1846","1918","n.d.","6 3/4 x 8 7/8","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Françoise Holding a Little Dog","http://emuseum.huntington.org/internal/media/dispatcher/220/resize:format$003dfull","1844","1926","ca. 1906","26 7/8 x 22 3/4","","pastel on paper","","American","","Mary Cassatt","The Huntington Library, Art Collections, and Botanical Gardens.
Arabella Huntington Memorial Collection"
"","NA","","From a Photo of Lincoln Taken in 1864","http://emuseum.huntington.org/internal/media/dispatcher/22328/resize:format$003dfull","1858","1949","1931","15 x 10 1/4","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
"","NA","","Fruit Seller","http://emuseum.huntington.org/internal/media/dispatcher/16309/resize:format$003dfull","1820","1903","1951","7 1/2 x 9 3/4","","watercolor and graphite on paper","","American","","John Mackie Falconer","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Games","http://emuseum.huntington.org/internal/media/dispatcher/18053/resize:format$003dfull","1808","1889","1860","NA","","graphite on paper","","American","","John Gadsby Chapman","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Garlic","http://emuseum.huntington.org/internal/media/dispatcher/30372/resize:format$003dfull","1935","NA","1983","sheet: 5 3/4 x 10 1/4","","graphite on paper","","American","","Joe Price","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Joe Price and M. Lee Stone Fine Prints"
"","NA","","Garlic","http://emuseum.huntington.org/internal/media/dispatcher/30373/resize:format$003dfull","1935","NA","1983","sheet: 5 3/4 x 10 1/4","","watercolor on paper","","American","","Joe Price","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Joe Price and M. Lee Stone Fine Prints"
"","NA","","General Sigel's Corps at the Second Battle of Bull Run, August 29, 1862","http://emuseum.huntington.org/internal/media/dispatcher/20457/resize:format$003dfull","NA","NA","n.d.","8 1/2 x 14","","graphite on paper","","American","","William F. Davenport","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
